iso_code,name,state,country,zone
85325,San Luis De Palenque,CAS,CO,6
85400,Tamara,CAS,CO,6
85410,Tauramena,CAS,CO,6
85430,Trinidad,CAS,CO,6
85440,Villanueva,CAS,CO,6
19001,Popayan,CAU,CO,6
19022,Almaguer,CAU,CO,6
19050,Argelia,CAU,CO,6
19075,Balboa,CAU,CO,6
19100,Bolivar,CAU,CO,6
19110,Buenos Aires,CAU,CO,6
19130,Cajibio,CAU,CO,6
19137,Caldono,CAU,CO,6
19142,Caloto,CAU,CO,6
19212,Corinto,CAU,CO,6
19256,El Tambo,CAU,CO,6
19290,Florencia,CAU,CO,6
19300,Guachene,CAU,CO,6
19318,Guapi,CAU,CO,6
19355,Inza,CAU,CO,6
19364,Jambalo,CAU,CO,6
19392,La Sierra,CAU,CO,6
19397,La Vega,CAU,CO,6
19418,Lopez,CAU,CO,6
19450,Mercaderes,CAU,CO,6
19455,Miranda,CAU,CO,6
19473,Morales,CAU,CO,6
19513,Padilla,CAU,CO,6
19517,Paez,CAU,CO,6
19532,Patia,CAU,CO,6
19533,Piamonte,CAU,CO,6
19548,Piendamo,CAU,CO,6
19573,Puerto Tejada,CAU,CO,6
19585,Purace,CAU,CO,6
19622,Rosas,CAU,CO,6
19693,San Sebastian,CAU,CO,6
19698,Santander De Quilichao,CAU,CO,6
19701,Santa Rosa,CAU,CO,6
19743,Silvia,CAU,CO,6
19760,Sotara,CAU,CO,6
19780,Suarez,CAU,CO,6
19785,Sucre,CAU,CO,6
19807,Timbio,CAU,CO,6
19809,Timbiqui,CAU,CO,6
19821,Toribio,CAU,CO,6
19824,Totoro,CAU,CO,6
19845,Villa Rica,CAU,CO,6
20001,Valledupar,CES,CO,6
20011,Aguachica,CES,CO,6
20013,Agustin Codazzi,CES,CO,6
20032,Astrea,CES,CO,6
20045,Becerril,CES,CO,6
20060,Bosconia,CES,CO,6
20175,Chimichagua,CES,CO,6
20178,Chiriguana,CES,CO,6
20228,Curumani,CES,CO,6
20238,El Copey,CES,CO,6
20250,El Paso,CES,CO,6
20295,Gamarra,CES,CO,6
20310,Gonzalez,CES,CO,6
20383,La Gloria,CES,CO,6
20400,La Jagua De Ibirico,CES,CO,6
20443,Manaure,CES,CO,6
20517,Pailitas,CES,CO,6
20550,Pelaya,CES,CO,6
20570,Pueblo Bello,CES,CO,6
20614,Rio De Oro,CES,CO,6
20621,La Paz,CES,CO,6
20710,San Alberto,CES,CO,6
20750,San Diego,CES,CO,6
20770,San Martin,CES,CO,6
20787,Tamalameque,CES,CO,6
27001,Quibdo,CHO,CO,6
27006,Acandi,CHO,CO,6
27025,Alto Baudo,CHO,CO,6
27050,Atrato,CHO,CO,6
27073,Bagado,CHO,CO,6
27075,Bahia Solano,CHO,CO,6
27077,Bajo Baudo,CHO,CO,6
27099,Bojaya,CHO,CO,6
27135,El Canton Del San Pablo,CHO,CO,6
27150,Carmen Del Darien,CHO,CO,6
27160,Certegui,CHO,CO,6
27205,Condoto,CHO,CO,6
27245,El Carmen De Atrato,CHO,CO,6
27250,El Litoral Del San Juan,CHO,CO,6
27361,Istmina,CHO,CO,6
27372,Jurado,CHO,CO,6
27413,Lloro,CHO,CO,6
27425,Medio Atrato,CHO,CO,6
27430,Medio Baudo,CHO,CO,6
27450,Medio San Juan,CHO,CO,6
27491,Novita,CHO,CO,6
27495,Nuqui,CHO,CO,6
27580,Rio Iro,CHO,CO,6
27600,Rio Quito,CHO,CO,6
27615,Riosucio,CHO,CO,6
27660,San Jose Del Palmar,CHO,CO,6
27745,Sipi,CHO,CO,6
27787,Tado,CHO,CO,6
27800,Unguia,CHO,CO,6
27810,Union Panamericana,CHO,CO,6
23001,Monteria,COR,CO,6
23068,Ayapel,COR,CO,6
23079,Buenavista,COR,CO,6
23090,Canalete,COR,CO,6
23162,Cerete,COR,CO,6
23168,Chima,COR,CO,6
23182,Chinu,COR,CO,6
23189,Cienaga De Oro,COR,CO,6
23300,Cotorra,COR,CO,6
23350,La Apartada,COR,CO,6
23417,Lorica,COR,CO,6
23419,Los Cordobas,COR,CO,6
23464,Momil,COR,CO,6
23466,Montelibano,COR,CO,6
23500,Moñitos,COR,CO,6
23555,Planeta Rica,COR,CO,6
23570,Pueblo Nuevo,COR,CO,6
23574,Puerto Escondido,COR,CO,6
23580,Puerto Libertador,COR,CO,6
23586,Purisima,COR,CO,6
23660,Sahagun,COR,CO,6
23670,San Andres Sotavento,COR,CO,6
23672,San Antero,COR,CO,6
23675,San Bernardo Del Viento,COR,CO,6
23678,San Carlos,COR,CO,6
23686,San Pelayo,COR,CO,6
23807,Tierralta,COR,CO,6
23855,Valencia,COR,CO,6
25001,Agua De Dios,CUN,CO,6
25019,Alban,CUN,CO,6
25035,Anapoima,CUN,CO,6
25040,Anolaima,CUN,CO,6
25053,Arbelaez,CUN,CO,6
25086,Beltran,CUN,CO,6
25095,Bituima,CUN,CO,6
25099,Bojaca,CUN,CO,6
25120,Cabrera,CUN,CO,6
25123,Cachipay,CUN,CO,6
25126,Cajica,CUN,CO,6
25148,Caparrapi,CUN,CO,6
25151,Caqueza,CUN,CO,6
25154,Carmen De Carupa,CUN,CO,6
25168,Chaguani,CUN,CO,6
25175,Chia,CUN,CO,6
25178,Chipaque,CUN,CO,6
25181,Choachi,CUN,CO,6
25183,Choconta,CUN,CO,6
25200,Cogua,CUN,CO,6
25214,Cota,CUN,CO,6
25224,Cucunuba,CUN,CO,6
25245,El Colegio,CUN,CO,6
25258,El Peñon,CUN,CO,6
25260,El Rosal,CUN,CO,6
25269,Facatativa,CUN,CO,6
25279,Fomeque,CUN,CO,6
25281,Fosca,CUN,CO,6
25286,Funza,CUN,CO,6
25288,Fuquene,CUN,CO,6
25290,Fusagasuga,CUN,CO,6
25293,Gachala,CUN,CO,6
25295,Gachancipa,CUN,CO,6
25297,Gacheta,CUN,CO,6
25299,Gama,CUN,CO,6
25307,Girardot,CUN,CO,6
25312,Granada,CUN,CO,6
25317,Guacheta,CUN,CO,6
25320,Guaduas,CUN,CO,6
25322,Guasca,CUN,CO,6
25324,Guataqui,CUN,CO,6
25326,Guatavita,CUN,CO,6
25328,Guayabal De Siquima,CUN,CO,6
25335,Guayabetal,CUN,CO,6
25339,Gutierrez,CUN,CO,6
25368,Jerusalen,CUN,CO,6
25372,Junin,CUN,CO,6
25377,La Calera,CUN,CO,6
25386,La Mesa,CUN,CO,6
25394,La Palma,CUN,CO,6
25398,La Peña,CUN,CO,6
25402,La Vega,CUN,CO,6
25407,Lenguazaque,CUN,CO,6
25426,Macheta,CUN,CO,6
25430,Madrid,CUN,CO,6
25436,Manta,CUN,CO,6
25438,Medina,CUN,CO,6
25473,Mosquera,CUN,CO,6
25483,Nariño,CUN,CO,6
25486,Nemocon,CUN,CO,6
25488,Nilo,CUN,CO,6
25489,Nimaima,CUN,CO,6
25491,Nocaima,CUN,CO,6
25506,Venecia,CUN,CO,6
25513,Pacho,CUN,CO,6
25518,Paime,CUN,CO,6
25524,Pandi,CUN,CO,6
25530,Paratebueno,CUN,CO,6
25535,Pasca,CUN,CO,6
25572,Puerto Salgar,CUN,CO,6
25580,Puli,CUN,CO,6
25592,Quebradanegra,CUN,CO,6
25594,Quetame,CUN,CO,6
25596,Quipile,CUN,CO,6
25599,Apulo,CUN,CO,6
25612,Ricaurte,CUN,CO,6
25645,San Antonio Del Tequendama,CUN,CO,6
25649,San Bernardo,CUN,CO,6
25653,San Cayetano,CUN,CO,6
25658,San Francisco,CUN,CO,6
25662,San Juan De Rio Seco,CUN,CO,6
25718,Sasaima,CUN,CO,6
25736,Sesquile,CUN,CO,6
25740,Sibate,CUN,CO,6
25743,Silvania,CUN,CO,6
25745,Simijaca,CUN,CO,6
25754,Soacha,CUN,CO,6
25758,Sopo,CUN,CO,6
25769,Subachoque,CUN,CO,6
25772,Suesca,CUN,CO,6
25777,Supata,CUN,CO,6
25779,Susa,CUN,CO,6
25781,Sutatausa,CUN,CO,6
25785,Tabio,CUN,CO,6
25793,Tausa,CUN,CO,6
25797,Tena,CUN,CO,6
25799,Tenjo,CUN,CO,6
25805,Tibacuy,CUN,CO,6
25807,Tibirita,CUN,CO,6
25815,Tocaima,CUN,CO,6
25817,Tocancipa,CUN,CO,6
25823,Topaipi,CUN,CO,6
25839,Ubala,CUN,CO,6
25841,Ubaque,CUN,CO,6
25843,Villa De San Diego De Ubate,CUN,CO,6
25845,Une,CUN,CO,6
25851,Utica,CUN,CO,6
25862,Vergara,CUN,CO,6
25867,Viani,CUN,CO,6
